Design,nRAS,nBTBEntries,nBHTEntries,nICacheSets,nICacheWays,nICacheTLBWays,MulDivUnroll,useVM,nDCacheSets,nDCacheWays,nDCacheTLBWays,nMSHRs,chipfinish_Total_Area,cts_Total_Area,floorplan_Total_Area,placement_Total_Area,route_Total_Area,chipfinish_Fast_Total_Power(nW),chipfinish_Slow_Total_Power(nW),chipfinish_Typical_Total_Power(nW),cts_Fast_Total_Power(nW),cts_Slow_Total_Power(nW),cts_Typical_Total_Power(nW),floorplan_Fast_Total_Power(nW),floorplan_Slow_Total_Power(nW),floorplan_Typical_Total_Power(nW),placement_Fast_Total_Power(nW),placement_Slow_Total_Power(nW),placement_Typical_Total_Power(nW),route_Fast_Total_Power(nW),route_Slow_Total_Power(nW),route_Typical_Total_Power(nW),chipfinish_FUNC_Fast_(Setup)_WNS,chipfinish_FUNC_Slow_(Setup)_WNS,chipfinish_FUNC_Typical_(Setup)_WNS,cts_FUNC_Fast_(Setup)_WNS,cts_FUNC_Slow_(Setup)_WNS,cts_FUNC_Typical_(Setup)_WNS,floorplan_FUNC_Fast_(Setup)_WNS,floorplan_FUNC_Slow_(Setup)_WNS,floorplan_FUNC_Typical_(Setup)_WNS,floorplan.zwlm_FUNC_Fast_(Setup)_WNS,floorplan.zwlm_FUNC_Slow_(Setup)_WNS,floorplan.zwlm_FUNC_Typical_(Setup)_WNS,placement_FUNC_Fast_(Setup)_WNS,placement_FUNC_Slow_(Setup)_WNS,placement_FUNC_Typical_(Setup)_WNS,route_FUNC_Fast_(Setup)_WNS,route_FUNC_Slow_(Setup)_WNS,route_FUNC_Typical_(Setup)_WNS,route.no_si_FUNC_Fast_(Setup)_WNS,route.no_si_FUNC_Slow_(Setup)_WNS,route.no_si_FUNC_Typical_(Setup)_WNS,Frequency
RocketTile_0,3.0,56.0,512.0,64.0,1.0,8.0,4.0,0.0,64.0,4.0,4.0,3.0,45869.423,45869.423,45869.423,45869.423,45869.423,23008000.0,9892000.0,14052000.0,22803000.0,9804300.0,13911000.0,23382000.0,9325000.0,13543000.0,22752000.0,9341100.0,13471000.0,22999000.0,9888000.0,14046000.0,0.3937,-0.0679,0.2587,0.4005,0.0,0.2674,-0.2621,-1.4313,-0.6073,0.3836,-0.4504,0.1555,0.4079,-0.0003,0.2809,0.3933,-0.0615,0.2599,0.4452,-0.0234,0.3142,800
RocketTile_1,12.0,14.0,0.0,32.0,1.0,20.0,4.0,1.0,64.0,1.0,12.0,2.0,27769.716,27769.716,27769.716,27769.716,27769.716,13848000.0,5882500.0,8495800.0,13643000.0,5796900.0,8357900.0,14389000.0,5309000.0,8035300.0,13831000.0,5347900.0,7988800.0,13842000.0,5879800.0,8492000.0,0.4212,-0.0653,0.2911,0.4492,-0.0,0.317,-0.2476,-1.5234,-0.6379,0.3621,-0.4753,0.1204,0.444,-0.0004,0.2915,0.4233,-0.0615,0.2938,0.4648,-0.0261,0.335,800
RocketTile_2,6.0,42.0,0.0,64.0,2.0,4.0,8.0,1.0,32.0,4.0,32.0,3.0,46827.8712,46827.8712,46827.8712,46827.8712,46827.8712,24466000.0,10920000.0,15372000.0,24307000.0,10838000.0,15249000.0,24892000.0,10282000.0,14833000.0,24440000.0,10311000.0,14796000.0,24459000.0,10918000.0,15367000.0,0.3623,-0.0562,0.2402,0.4164,-0.0001,0.2765,-0.4132,-1.7674,-0.8153,0.3933,-0.4492,0.1561,0.4295,-0.0008,0.2875,0.3653,-0.0497,0.2435,0.4668,-0.0276,0.3238,800
RocketTile_3,3.0,0.0,512.0,32.0,1.0,16.0,4.0,0.0,32.0,2.0,12.0,2.0,27149.3006,27149.3006,27149.3006,27149.3006,27149.3006,13894000.0,6213000.0,8763300.0,13737000.0,6154800.0,8666500.0,14434000.0,5829000.0,8480500.0,13948000.0,5846600.0,8430100.0,13891000.0,6212300.0,8761900.0,0.4512,-0.0604,0.321,0.4738,-0.0001,0.3321,-0.2342,-1.3867,-0.5951,0.3608,-0.4346,0.1367,0.4484,-0.0001,0.3079,0.4534,-0.0556,0.3239,0.4932,-0.0205,0.3486,800
RocketTile_4,6.0,0.0,1024.0,64.0,4.0,32.0,8.0,0.0,32.0,1.0,4.0,1.0,42840.9173,42840.9173,42840.9173,42840.9173,42840.9173,20287000.0,8356100.0,11916000.0,20101000.0,8290000.0,11800000.0,20535000.0,7844300.0,11428000.0,20090000.0,7884200.0,11410000.0,20279000.0,8353000.0,11911000.0,0.3542,-0.0555,0.2459,0.4199,-0.0,0.2924,-0.2425,-1.4474,-0.6022,0.3868,-0.4345,0.161,0.4394,-0.0008,0.3062,0.3561,-0.0511,0.2433,0.4519,-0.0239,0.3227,800
RocketTile_5,3.0,14.0,1024.0,32.0,1.0,20.0,4.0,0.0,32.0,4.0,28.0,1.0,35030.9232,35030.9232,35030.9232,35030.9232,35030.9232,18910000.0,8697800.0,11967000.0,18775000.0,8630500.0,11871000.0,562230000.0,372260000.0,460530000.0,561730000.0,372360000.0,460450000.0,18908000.0,8697200.0,11965000.0,0.4338,-0.0539,0.3011,0.4525,-0.0,0.3126,-187.4026,-373.2678,-227.5792,0.3739,-0.4499,0.1542,0.4388,-0.0002,0.3052,0.436,-0.0468,0.3031,0.4843,-0.0264,0.3437,800
RocketTile_6,0.0,56.0,512.0,64.0,4.0,4.0,4.0,1.0,64.0,2.0,12.0,1.0,51731.905,51731.905,51731.905,51731.905,51731.905,23921000.0,9809000.0,13958000.0,23725000.0,9725500.0,13824000.0,23961000.0,9064400.0,13233000.0,23575000.0,9112600.0,13225000.0,23913000.0,9806100.0,13953000.0,0.3922,-0.0593,0.2747,0.4007,0.0,0.2744,-0.2358,-1.3077,-0.5667,0.393,-0.4486,0.1567,0.425,-0.0014,0.3026,0.3935,-0.0526,0.2767,0.4745,-0.0251,0.3346,800
RocketTile_7,3.0,14.0,512.0,64.0,4.0,16.0,4.0,0.0,64.0,2.0,28.0,2.0,52048.98,52048.98,52048.98,52048.98,52048.98,26010000.0,10804000.0,15402000.0,25874000.0,10727000.0,15288000.0,26097000.0,10203000.0,14805000.0,25593000.0,10235000.0,14763000.0,26000000.0,10800000.0,15396000.0,0.3205,-0.0687,0.2094,0.357,-0.0001,0.2388,-0.5312,-1.5839,-0.8802,0.3935,-0.4293,0.163,0.4078,-0.0003,0.2916,0.3224,-0.0606,0.2134,0.4368,-0.0255,0.3153,800
RocketTile_8,6.0,28.0,0.0,32.0,1.0,24.0,4.0,0.0,64.0,1.0,16.0,3.0,26291.1542,26291.1542,26291.1542,26291.1542,26291.1542,14208000.0,6235900.0,8978200.0,14053000.0,6175400.0,8879400.0,14636000.0,5815500.0,8637400.0,14181000.0,5835900.0,8596200.0,14204000.0,6234300.0,8975900.0,0.4274,-0.0611,0.3089,0.4705,0.0,0.3288,-0.2427,-1.4087,-0.6032,0.3643,-0.4534,0.1434,0.4411,-0.0,0.3033,0.4277,-0.0515,0.3085,0.5045,-0.0267,0.3616,800
RocketTile_9,3.0,0.0,128.0,32.0,4.0,28.0,8.0,0.0,64.0,1.0,32.0,2.0,38572.7573,38572.7573,38572.7573,38572.7573,38572.7573,20793000.0,9281900.0,13041000.0,20642000.0,9217800.0,12940000.0,21152000.0,8749400.0,12579000.0,20645000.0,8784000.0,12541000.0,20787000.0,9279300.0,13037000.0,0.3855,-0.0721,0.2642,0.4289,-0.0001,0.3046,-0.2706,-1.488,-0.6415,0.3662,-0.4416,0.1437,0.4406,-0.0001,0.3003,0.3816,-0.062,0.2668,0.4769,-0.0223,0.3508,800
RocketTile_10,12.0,56.0,128.0,32.0,1.0,16.0,8.0,0.0,32.0,2.0,16.0,1.0,28201.32,28201.32,28201.32,28201.32,28201.32,13495000.0,5822000.0,8249300.0,13283000.0,5741100.0,8113300.0,14023000.0,5311800.0,7814100.0,13439000.0,5342600.0,7761400.0,13491000.0,5820200.0,8246600.0,0.4223,-0.0564,0.3002,0.4556,0.0001,0.3171,-0.3006,-1.4298,-0.6576,0.3701,-0.4406,0.1506,0.4466,-0.0004,0.3075,0.4239,-0.0498,0.3043,0.4687,-0.0308,0.343,800
RocketTile_11,0.0,14.0,1024.0,32.0,2.0,24.0,4.0,0.0,64.0,1.0,16.0,1.0,28044.3557,28044.3557,28044.3557,28044.3557,28044.3557,13146000.0,5634300.0,7955500.0,12985000.0,5576100.0,7862300.0,13614000.0,5202200.0,7623200.0,13156000.0,5225700.0,7585600.0,13143000.0,5632900.0,7953300.0,0.4484,-0.0582,0.3087,0.4664,0.0,0.3305,-0.3299,-1.4498,-0.6915,0.3595,-0.4473,0.132,0.4414,-0.0007,0.3014,0.4513,-0.0487,0.3118,0.4967,-0.0293,0.3545,800
RocketTile_12,3.0,0.0,512.0,64.0,1.0,12.0,8.0,1.0,32.0,2.0,32.0,1.0,30218.0803,30218.0803,30218.0803,30218.0803,30218.0803,13824000.0,5807400.0,8267000.0,13616000.0,5721500.0,8127700.0,14343000.0,5272400.0,7838700.0,13804000.0,5286100.0,7768300.0,13818000.0,5804500.0,8262800.0,0.4511,-0.0538,0.3157,0.4693,-0.0001,0.3259,-0.2147,-1.4117,-0.5756,0.3703,-0.447,0.1516,0.438,-0.0021,0.2969,0.4549,-0.0491,0.3174,0.4959,-0.0242,0.3558,800
RocketTile_13,9.0,42.0,128.0,64.0,2.0,24.0,8.0,0.0,32.0,4.0,12.0,1.0,43205.5714,43205.5714,43205.5714,43205.5714,43205.5714,20360000.0,8867400.0,12352000.0,20185000.0,8794100.0,12237000.0,20801000.0,8295500.0,11889000.0,20348000.0,8323900.0,11857000.0,20354000.0,8865200.0,12348000.0,0.3871,-0.0574,0.2466,0.4371,-0.0001,0.2981,-0.2525,-1.3878,-0.5661,0.3842,-0.4436,0.1578,0.4274,-0.0001,0.2933,0.39,-0.0537,0.2504,0.4442,-0.0252,0.3017,800
RocketTile_14,0.0,28.0,512.0,32.0,2.0,8.0,8.0,1.0,64.0,2.0,32.0,1.0,35778.289,35778.289,35778.289,35778.289,35778.289,16452000.0,7006400.0,9889600.0,16244000.0,6922200.0,9754800.0,16898000.0,6427800.0,9413000.0,16405000.0,6446900.0,9357200.0,16447000.0,7004600.0,9886700.0,0.4146,-0.0603,0.2925,0.4275,0.0,0.2957,-0.3176,-1.5239,-0.6836,0.3887,-0.4379,0.1551,0.4315,-0.0001,0.2903,0.4157,-0.0574,0.2939,0.4809,-0.0217,0.3421,800
RocketTile_15,3.0,0.0,1024.0,64.0,1.0,24.0,8.0,0.0,64.0,1.0,4.0,3.0,28182.168,28182.168,28182.168,28182.168,28182.168,14557000.0,6205000.0,9002500.0,14412000.0,6145000.0,8905100.0,14971000.0,5789000.0,8660400.0,14542000.0,5813800.0,8626100.0,14554000.0,6203900.0,9000700.0,0.4518,-0.0562,0.314,0.4709,0.0,0.333,-0.3497,-1.592,-0.7401,0.3568,-0.4397,0.1292,0.4395,-0.0022,0.3001,0.4532,-0.0486,0.3171,0.5044,-0.0226,0.3581,800
RocketTile_16,12.0,42.0,128.0,32.0,4.0,32.0,8.0,0.0,64.0,1.0,8.0,3.0,41854.3978,41854.3978,41854.3978,41854.3978,41854.3978,23713000.0,10667000.0,15046000.0,23520000.0,10582000.0,14915000.0,24126000.0,10008000.0,14489000.0,23628000.0,10054000.0,14465000.0,23707000.0,10664000.0,15041000.0,0.3617,-0.0633,0.2417,0.3758,-0.0001,0.2567,-0.4668,-1.5319,-0.7842,0.3816,-0.424,0.1725,0.431,-0.0001,0.3009,0.3662,-0.0593,0.2477,0.426,-0.0249,0.3035,800
RocketTile_17,9.0,0.0,0.0,64.0,1.0,8.0,8.0,0.0,64.0,1.0,24.0,1.0,25406.6054,25406.6054,25406.6054,25406.6054,25406.6054,10841000.0,4374800.0,6302700.0,10718000.0,4319700.0,6217600.0,11322000.0,3981300.0,6002300.0,10886000.0,4000100.0,5962500.0,10839000.0,4374100.0,6301600.0,0.4576,-0.0524,0.3295,0.4734,-0.0,0.332,-0.2035,-1.3352,-0.5536,0.3625,-0.4292,0.1391,0.441,-0.0001,0.3063,0.4589,-0.048,0.3313,0.5044,-0.0289,0.3653,800
RocketTile_18,3.0,42.0,512.0,64.0,2.0,20.0,4.0,1.0,32.0,1.0,32.0,2.0,36625.3272,36625.3272,36625.3272,36625.3272,36625.3272,19104000.0,7874900.0,11406000.0,18872000.0,7773800.0,11245000.0,19430000.0,7219200.0,10798000.0,18893000.0,7245600.0,10749000.0,19097000.0,7872600.0,11401000.0,0.3976,-0.0622,0.2699,0.4453,0.0,0.3085,-0.2797,-1.4939,-0.6448,0.3837,-0.4725,0.138,0.4478,-0.0004,0.3128,0.4001,-0.0592,0.2723,0.4808,-0.0279,0.3449,800
RocketTile_19,12.0,42.0,512.0,64.0,2.0,16.0,4.0,0.0,32.0,1.0,24.0,1.0,32431.86,32431.86,32431.86,32431.86,32431.86,15764000.0,6433700.0,9222800.0,15584000.0,6353900.0,9098700.0,16138000.0,5921000.0,8772100.0,15574000.0,5940300.0,8715800.0,15759000.0,6431700.0,9219600.0,0.423,-0.0658,0.2883,0.4501,0.0,0.3178,-0.3011,-1.4443,-0.6652,0.3935,-0.4399,0.1579,0.4381,-0.001,0.2903,0.4231,-0.0584,0.2901,0.4928,-0.0272,0.3431,800
RocketTile_20,12.0,56.0,1024.0,32.0,1.0,32.0,4.0,0.0,64.0,4.0,12.0,2.0,43424.0957,43424.0957,43424.0957,43424.0957,43424.0957,22214000.0,9676100.0,13584000.0,22029000.0,9582300.0,13445000.0,565440000.0,373160000.0,462080000.0,564810000.0,373300000.0,462010000.0,22204000.0,9671800.0,13577000.0,0.3745,-0.0511,0.2633,0.4264,-0.0,0.2979,-187.4995,-373.5355,-227.6846,0.3731,-0.4674,0.1354,0.4169,-0.0001,0.2912,0.3774,-0.0441,0.2664,0.4688,-0.0264,0.3425,800
RocketTile_21,12.0,14.0,0.0,64.0,4.0,24.0,8.0,1.0,64.0,4.0,8.0,2.0,64033.5355,64033.5355,64033.5355,64033.5355,64033.5355,30154000.0,12648000.0,17922000.0,29897000.0,12554000.0,17771000.0,30239000.0,11823000.0,17141000.0,29839000.0,11879000.0,17139000.0,30144000.0,12644000.0,17916000.0,0.3533,-0.0704,0.2269,0.3946,-0.0003,0.2687,-0.3179,-1.568,-0.6887,0.3783,-0.4404,0.1671,0.4116,0.0,0.293,0.3531,-0.053,0.2298,0.4278,-0.0204,0.3009,800
RocketTile_22,12.0,42.0,512.0,64.0,2.0,12.0,8.0,0.0,64.0,4.0,20.0,2.0,50724.2635,50724.2635,50724.2635,50724.2635,50724.2635,24112000.0,10133000.0,14343000.0,23961000.0,10048000.0,14218000.0,24263000.0,9511400.0,13760000.0,23778000.0,9534100.0,13720000.0,24104000.0,10130000.0,14338000.0,0.2686,-0.0817,0.1607,0.3883,0.0,0.274,-0.3313,-1.544,-0.7049,0.3854,-0.4475,0.1647,0.4097,-0.001,0.2846,0.2708,-0.0744,0.1645,0.4354,-0.0355,0.326,800
RocketTile_23,9.0,42.0,512.0,64.0,4.0,12.0,4.0,1.0,64.0,1.0,16.0,2.0,50647.2725,50647.2725,50647.2725,50647.2725,50647.2725,25605000.0,10677000.0,15294000.0,25344000.0,10573000.0,15118000.0,26011000.0,9859400.0,14550000.0,25445000.0,9888300.0,14496000.0,25596000.0,10674000.0,15288000.0,0.3932,-0.0595,0.2705,0.4181,0.0,0.285,-0.4429,-1.7003,-0.8256,0.3935,-0.447,0.157,0.4244,-0.0002,0.2926,0.3948,-0.048,0.2727,0.4452,-0.0274,0.314,800
RocketTile_24,3.0,28.0,0.0,32.0,4.0,12.0,4.0,0.0,64.0,1.0,20.0,1.0,37072.2254,37072.2254,37072.2254,37072.2254,37072.2254,18896000.0,8354500.0,11674000.0,18790000.0,8300800.0,11596000.0,19361000.0,7893100.0,11307000.0,18926000.0,7924100.0,11279000.0,18890000.0,8351900.0,11670000.0,0.3613,-0.0572,0.2644,0.4352,-0.0,0.3029,-0.2623,-1.4157,-0.6235,0.3968,-0.4382,0.1592,0.4252,-0.0001,0.3013,0.362,-0.0513,0.2466,0.4671,-0.0202,0.3439,800
RocketTile_25,0.0,28.0,256.0,64.0,4.0,32.0,8.0,1.0,64.0,1.0,16.0,1.0,47332.9915,47332.9915,47332.9915,47332.9915,47332.9915,22007000.0,8900500.0,12780000.0,21732000.0,8801900.0,12609000.0,22264000.0,8201900.0,12134000.0,21783000.0,8244100.0,12101000.0,22002000.0,8898700.0,12777000.0,0.3754,-0.0545,0.2633,0.4049,-0.0,0.2824,-0.233,-1.4845,-0.6186,0.3954,-0.4245,0.1627,0.4437,0.0,0.3075,0.377,-0.0507,0.2653,0.4532,-0.0275,0.3355,800
RocketTile_26,0.0,56.0,1024.0,64.0,2.0,8.0,4.0,1.0,64.0,4.0,24.0,1.0,49416.6197,49416.6197,49416.6197,49416.6197,49416.6197,21369000.0,8834200.0,12502000.0,21131000.0,8751500.0,12363000.0,21702000.0,8246300.0,11977000.0,21270000.0,8278500.0,11945000.0,21363000.0,8832100.0,12498000.0,0.3608,-0.0571,0.2471,0.4166,-0.0,0.2829,-0.2611,-1.4233,-0.6177,0.3914,-0.4445,0.1552,0.4343,-0.0003,0.2975,0.3622,-0.0478,0.2475,0.4389,-0.0328,0.312,800
RocketTile_27,12.0,42.0,256.0,64.0,2.0,8.0,4.0,0.0,32.0,1.0,4.0,1.0,32202.1181,32202.1181,32202.1181,32202.1181,32202.1181,15091000.0,6127000.0,8792600.0,14955000.0,6055200.0,8687700.0,15527000.0,5636100.0,8391300.0,15001000.0,5656900.0,8340000.0,15086000.0,6125200.0,8789700.0,0.4124,-0.0519,0.2907,0.4497,0.0,0.3077,-0.2751,-1.4689,-0.6431,0.3838,-0.4448,0.1551,0.4236,-0.0001,0.2846,0.4143,-0.0465,0.2947,0.4741,-0.0215,0.3252,800
RocketTile_28,12.0,42.0,256.0,32.0,2.0,16.0,4.0,1.0,32.0,2.0,24.0,1.0,35073.6048,35073.6048,35073.6048,35073.6048,35073.6048,17702000.0,7670100.0,10807000.0,17458000.0,7570500.0,10643000.0,18134000.0,6979500.0,10218000.0,17637000.0,7023200.0,10189000.0,17695000.0,7667400.0,10803000.0,0.3868,-0.0688,0.2768,0.4507,-0.0,0.3108,-0.3119,-1.4168,-0.6607,0.383,-0.4512,0.155,0.4395,-0.0015,0.3028,0.3878,-0.0606,0.2788,0.4835,-0.0238,0.3395,800
RocketTile_29,3.0,42.0,256.0,64.0,2.0,8.0,4.0,0.0,32.0,2.0,32.0,2.0,37072.2254,37072.2254,37072.2254,37072.2254,37072.2254,18458000.0,7917800.0,11235000.0,18289000.0,7846500.0,11120000.0,19086000.0,7424200.0,10877000.0,18540000.0,7443800.0,10809000.0,18452000.0,7915400.0,11232000.0,0.4086,-0.0535,0.2902,0.4218,-0.0,0.3013,-0.2779,-1.4615,-0.6312,0.3691,-0.4703,0.1244,0.4365,-0.0,0.3089,0.4061,-0.0482,0.2931,0.459,-0.0243,0.3375,800
RocketTile_30,3.0,42.0,256.0,64.0,4.0,16.0,8.0,0.0,32.0,1.0,4.0,1.0,44751.9038,44751.9038,44751.9038,44751.9038,44751.9038,21568000.0,8882600.0,12643000.0,21427000.0,8803700.0,12529000.0,21869000.0,8306700.0,12140000.0,21423000.0,8323600.0,12096000.0,21561000.0,8879700.0,12638000.0,0.3702,-0.0565,0.2567,0.3754,-0.0001,0.2551,-0.2366,-1.4795,-0.6067,0.4078,-0.4236,0.1727,0.3958,-0.0001,0.2748,0.3748,-0.0453,0.263,0.4419,-0.0252,0.3167,800
RocketTile_31,0.0,42.0,0.0,32.0,4.0,4.0,8.0,1.0,32.0,4.0,24.0,3.0,52236.697,52236.697,52236.697,52236.697,52236.697,29835000.0,13734000.0,19164000.0,29595000.0,13649000.0,19016000.0,29934000.0,12999000.0,18443000.0,29532000.0,13050000.0,18434000.0,29826000.0,13730000.0,19159000.0,0.3425,-0.0623,0.2273,0.3574,-0.0001,0.2531,-0.2566,-1.4895,-0.628,0.3809,-0.4511,0.1427,0.4248,-0.0012,0.3066,0.345,-0.0589,0.2295,0.4135,-0.0283,0.2956,800
RocketTile_32,9.0,56.0,128.0,32.0,4.0,28.0,8.0,1.0,32.0,4.0,12.0,3.0,55108.2658,55108.2658,55108.2658,55108.2658,55108.2658,31199000.0,14232000.0,19916000.0,30938000.0,14127000.0,19745000.0,31538000.0,13404000.0,19166000.0,31042000.0,13460000.0,19147000.0,31189000.0,14228000.0,19910000.0,0.3926,-0.0762,0.2607,0.4071,0.0,0.2835,-0.389,-1.782,-0.7909,0.3739,-0.478,0.1297,0.4181,-0.0019,0.2887,0.3969,-0.0535,0.2701,0.4587,-0.0247,0.3327,800
RocketTile_33,12.0,28.0,512.0,64.0,1.0,32.0,8.0,0.0,32.0,4.0,16.0,1.0,37006.3973,37006.3973,37006.3973,37006.3973,37006.3973,18283000.0,8168600.0,11313000.0,18094000.0,8089700.0,11189000.0,18709000.0,7603900.0,10838000.0,18190000.0,7588100.0,10748000.0,18276000.0,8165600.0,11308000.0,0.4123,-0.0596,0.2866,0.4106,0.0001,0.2806,-0.3619,-1.5627,-0.7285,0.3915,-0.4459,0.154,0.4092,-0.0003,0.279,0.4159,-0.0533,0.2903,0.4691,-0.0225,0.3326,800
RocketTile_34,12.0,0.0,128.0,64.0,4.0,20.0,8.0,1.0,32.0,1.0,24.0,3.0,48718.8576,48718.8576,48718.8576,48718.8576,48718.8576,25472000.0,10825000.0,15531000.0,25253000.0,10731000.0,15386000.0,25834000.0,10129000.0,14913000.0,25352000.0,10204000.0,14919000.0,25465000.0,10822000.0,15526000.0,0.3538,-0.0604,0.2346,0.424,-0.0,0.2958,-0.2014,-1.4309,-0.5744,0.3876,-0.4348,0.1692,0.4409,-0.0028,0.2993,0.3542,-0.0553,0.239,0.4484,-0.0266,0.3253,800
RocketTile_35,9.0,42.0,0.0,32.0,1.0,20.0,4.0,0.0,32.0,1.0,8.0,3.0,24813.3312,24813.3312,24813.3312,24813.3312,24813.3312,13851000.0,6228600.0,8900600.0,13696000.0,6167000.0,8802700.0,14420000.0,5799500.0,8589100.0,13896000.0,5818500.0,8534300.0,13848000.0,6227300.0,8898500.0,0.4368,-0.0589,0.3083,0.4732,-0.0,0.3308,-0.2573,-1.4031,-0.6182,0.3608,-0.4554,0.1339,0.4333,-0.0002,0.3114,0.4383,-0.0533,0.3099,0.5025,-0.0244,0.3622,800
RocketTile_36,9.0,0.0,0.0,64.0,1.0,28.0,8.0,1.0,32.0,4.0,12.0,2.0,39497.3885,39497.3885,39497.3885,39497.3885,39497.3885,20014000.0,8814000.0,12458000.0,19753000.0,8718600.0,12298000.0,20283000.0,8202400.0,11876000.0,19803000.0,8241200.0,11840000.0,20003000.0,8808800.0,12451000.0,0.3595,-0.056,0.236,0.4231,-0.0,0.279,-0.3562,-1.7253,-0.7547,0.3789,-0.44,0.158,0.4525,-0.0008,0.3137,0.362,-0.0504,0.2384,0.4502,-0.0252,0.3182,800
